,email_body,sentiment,formality
346,I shall be in the office tomorrow (Fri) afternoon.,neutral,formal
347,I shall be out Tuesday and Wednesday.,neutral,formal
348,I shall be traveling Tue and Wed this week.,neutral,formal
349,I shall be traveling for the rest of the week but my colleague Dr. Zimin Lu will call you to talk about different structures.,neutral,formal
350,I shall be traveling this week.,neutral,formal
351,I shall catch her tomorrow in person.,neutral,formal
352,I shall contact you Thursday regarding the CMU presentation.,neutral,formal
353,I shall do it this weekend.,neutral,formal
354,I shall send you an updated version of my part next week.,neutral,formal
355,I shall send you the list of people who will attend the meeting at a later day.,neutral,formal
356,I shall send youan explanation later today or Monday.,neutral,formal
357,I shall take care of it Thursday.,neutral,formal
358,I shall try to organize a meeting next week after PRCs are over.,neutral,formal
359,I should be in after lunch.,neutral,informal
360,I spoke to Sara and Marie didn't want them to attend and that is fine with Sara.,neutral,informal
361,"I spoke with Lynn around Christmas, and he said the person who would sign was out of town, but was supposed to be back last week.",neutral,informal
362,I still plan on flying back on Thursday pm so that I can make that 900 appointment.,neutral,informal
363,I talked to Mike about taking you out to dinner sometimes next week.,neutral,informal
364,I think I need the coming long weekend to clean up all the papers and we shall be ready.,neutral,informal
365,I think I'll join the credit union!,positive,informal
366,I think it might be helpful if Nick Palatin was available as well.,positive,formal
367,I thought of you this weekend.,neutral,informal
368,I told Julie that Michael's calendar is open for this evening.,neutral,informal
369,"I told her we were meeting to develop a policy about the opening of such websites, that we had no board resolutions passed allowing the opening of them, nor do we have control procedures in place about where statements go, etc., so we can control and prevent ""rogue"" trading.",neutral,informal
370,I told him that I am not available but it does look good and it is in a nice place - also the speakers are first rate.,positive,informal
371,I trust that my strongest asset is my intellectual capital and ability to look from new angles into complex issues.,positive,formal
372,I understand that things are done differently in different cultures but I did not meet him and could not form my judgment based on personal observations.,neutral,formal
373,"I want to hear what M. Cash said, and who else you are meeting with.",neutral,formal
374,"I wanted to send this to you before I send it out to others, since I feel like there were changes we had discussed that somehow didn't make in the last draft.",neutral,informal
375,I wanted to thank you guys for all your support over the last painful week.,positive,informal
376,I was discussing Enron with my 20 year old daughter.,neutral,informal
377,I was doing a lot of development projects in Berkley and enjoyed it.,positive,informal
378,"I was going into the board meeting when it was received, so sorry I didn't respond.",negative,informal
379,"I was kinda hoping for a post-graduation family event on that Saturday, as hopes were raised when the ticket issue came up.",neutral,informal
380,"I was out of the office for a memorial service on Friday, November 10.",neutral,formal
381,I was out of town this past week and did not get back until Saturday night.,neutral,informal
382,"I was out the afternoon of Tuesday, November 28.",neutral,formal
383,I was thinking it would be fun to have a family outing this weekend instead of sitting around the house.,positive,informal
384,I went to Sheila's meeting.,neutral,informal
385,I wil however still have the best weekend of the year.,positive,informal
386,I will also send you a copy of this invoice in the mail and will be glad to send you the actual evaluation forms completed by the attendees if you would like to have them.,positive,formal
387,"I will attach a list of current traders who might be available to handle a trade with Palo Alto, and I will also have a certificate of incumbency attached for the officer signing in behalf of Enron, and return a fully executed contract for your files.",neutral,formal
388,I will attend.,positive,formal
389,I will be at the Rockets game tonight with tthe guys.,neutral,informal
390,I will be attending the Masters again this year.,positive,informal
391,I will be back Friday to resume the watch.,neutral,informal
392,I will be explaining this to my three children tonight.,neutral,informal
393,I will be in the office all of next week.,neutral,formal
394,I will be leaving work on Friday @12:00.,neutral,informal
395,I will be off on Friday.,neutral,informal
396,"I will be out Monday, but in early Tuesday.",neutral,informal
397,I will be out of the office Friday and Monday.,neutral,formal
398,"I will be out of the office on Monday, but will be available by phone.",neutral,formal
399,"I will be out of the office on Tuesday, October 10th.",neutral,formal
400,"I will be out of town on Monday, but Neil will be in, and will have my Lexus.",neutral,informal
401,I will be out of town that day (a meeting I can't move).,negative,informal
402,I will be travelling to Washington DC tomorrow (Tues) with Mark Bernstein.,neutral,informal
403,I will facilitate a planning retreat at the University next week so I must spend some of my time working on that and also managing rental property.,neutral,informal
404,I will follow-up with you next week regarding your participation.,neutral,formal
405,I will put you on the schedule.,neutral,formal
406,I will send you the required changes tomorrow.,neutral,formal
407,I will try and make it to practice tonight.,neutral,informal
408,I will try calling later this week to touch base and see how everything is in Houston.,neutral,informal
409,"I will write more later, trying to get caught up from a week off.",neutral,informal
410,I will write the check to UHCL next week.,neutral,informal
411,I would be embarassed to live in Houston and I hope you can sleep at night.,negative,informal
412,I would be interested in attending and giving a presentation.,positive,formal
413,I would be very intersted in joining the rotation program to see different possibilities and aspects of IT department.,positive,informal
414,"I would expect the board to seek repayment of any and all bonuses paid to senior managers based on these inaccurate financial results, including the estimated $30 million paid to the CFO, who allegedly is the architect of this scheme to defraud stockholders.",negative,formal
415,I would greatly appreciate the opportunity to discuss my interest in a position with Enron and will contact you within a week.,positive,formal
416,I would greatly appreciate your groups help in cutting some of these issues off at the pass.,positive,formal
417,I would like to have a brief (30 minute) meeting about the noise in the political system about synfuel and reaffirm Jordon's viewpoint on Section 29 credits.,neutral,formal
418,I would love to include my friend Carlos Sole from EECC for my birthday lunch.,positive,informal
419,"I wrote you a separate note on Friday, but I wanted to thank you again.",positive,informal
420,I'd like your help in identifying a guest participant who may help us think through some of the issues from either (or both) of two perspectives:,positive,formal
421,"I'll be at the Lake Austin Spa weekend after next, so that keeps me going.",positive,informal
422,"I'll be in DC tomorrow, although my schedule will be tight.",neutral,informal
423,I'll be in tomorrow.,neutral,informal
424,I'll be making significant changes as I get ready for the analyst meetings.,neutral,informal
425,I'll call him at 130 (CST) if he is available.,neutral,informal
426,I'll work on them over the weekend.,neutral,informal
427,I'm assuming there are no sound issues.,neutral,informal
428,I'm at home this am (kid stuff) but will be in around lunch and all afternoon.,neutral,informal
429,I'm going to be on this conference call (the David Tucker call) for a long time.,positive,informal
430,"I'm going to work really hard this week to see if I can catch up a bit, and take a day off soon.",neutral,informal
431,I'm guessing that we may come down for a day or two next week.,neutral,informal
432,"I'm in NYC, returning tomorrow.",neutral,informal
433,"I'm just afraid to say anything about anything because of what you said the other night about, gee you can't do anything right.",negative,informal
434,"I'm just surviving 3 miles around the park, and this weekend I plan to double my mileage to 6.",neutral,informal
435,I'm on a conference call or I would have called.,neutral,informal
436,I'm on a conference call that won't end.,neutral,informal
437,I'm on a conference call which I hope will end by then - a deal we are trying to close today.,neutral,informal
438,"I'm on a conference call, so an email response would be appreciated.",positive,formal
439,"I'm on the road until Thursday afternoon, and give give blood on Friday.",neutral,informal
440,I'm out all weekend.,neutral,informal
441,I'm out of pocket the rest of the week.,negative,informal
442,"I'm out of town this weekend - Neil's officer's meeting at the Hyatt Hill Country, then up to see Paige on Saturday, back on Sunday.",neutral,informal
443,"I'm out of town, but can donate next week.",positive,informal
444,I'm planning on attending.,positive,informal
445,I'm trying to locate a copy of the contract to purchase the 501D5A turbine to see if we need to be aware of any issues in the contract.,neutral,informal
446,I've added the definition of Scheduling Equipment Costs.,neutral,informal
447,I've already discussed this with Mark H. and he thought it had already been done.,neutral,informal
448,I've been trying to get David Minns for several days about various issues.,neutral,informal
449,I've got the dinner schedules for 7:30 pm.,neutral,informal
450,"I've talked to Deb Korkmas about it (I hear she's the one to handle such things), and I've asked Kathleen to identify the most active development entities so that we deal with as many as possible at once.",neutral,informal
451,"If I remember, we spent a hour with London over the phone discussing just this issue!",neutral,informal
452,"If that works for them, please reschedule the conference call, send a confirming email to Mike, Steve Swift, Kent, Marty, Scott, Rose, Sheila (and leave her a voice mail -she is on the road), etc.",neutral,informal
453,"If we do, that brings up other issues, and we will have to run this by our outside counsel, Sullivan & Cromwell.",neutral,formal
454,"If yes, which shared calendar?",neutral,informal
455,If you are available I think it would be a good idea.,positive,formal
456,"If you are inquiring about time that I may have been out of the office during the two week period ending today, I was out on Vacation one day, that being March 9, 2001.",neutral,formal
457,"In a recent discussion with one of Enron's folks the City (or their lawyer) raised the issue that Kilpatrick Stockton had represented them in the past, and that there might be a potential conflict.",neutral,informal
458,"In addition to our usual reasons for taking this very important one-day trip, I have been advised by Presidencia (equivalent for our ""West Wing"") that during this face-to-face meeting, we would have the appropriate opportunity to invite President Fox to visit Houston.",positive,formal
459,"In addition, a seventy-two hour test will be run to ascertain that each unit is capable of producing the required output without outages.",neutral,formal
460,"In addition, we will need the following closing documents: (i) Certificat e of Incumbency, (ii) certified board resolutions of the Policy for Approval of Guarantees (=01&Policy=018), (iii) certificate by the Treasurer or other au thorized officer certifying coverage of the Guaranty under the Policy, and (iv) certified copy of Enron Corp.=01,s articles of incorporation and bylaws.",neutral,formal
461,"In any event, I will treat this email exchange as a private matter between old (in more ways than one!) friends.",neutral,informal
462,"In any event, here's a change the counterparty wants to the tax language in the letter agreement.",neutral,formal
463,In in New York the rest of the week.,neutral,informal
464,"In my first presentation to Gazprom in Moscow, I remember, that I pictured Enron as the largest gas pipeline operator in Americas aggressively looking for energy development projects in emerging markets.",positive,formal
465,"In order for us to continue with the discussions and the possibility of employment, we have been asked to provide a letter from Enron representing that we have been released from the obligations of our various employment contracts, specifically the non-compete provision.",neutral,formal
466,"In regards to your topic for the conference, the theme of the 2001 Electric Market Forecasting Conference market volatility and risks regional markets.",neutral,formal
467,"In the event of a Force Majeure affecting Buyer=01,s ability to receive Ene rgy from Seller, payment of the Demand Charge shall continue.",neutral,formal
468,"In the event of a low rain and snow period, the system must possess t he flexibility to respond to the reduced availability of power supply.",neutral,formal
469,"In the event that such a conversation would not cross your wires, it seemed to me that if Tata and Enron are driving for a settlement from different directions, your interests would be served.",neutral,formal
470,"Individual transactions will 20 be confirmed by written confirmation to be acknowledged and signed by EPMI 20 and jointly by MDEA, YCPSC and CPUC.. ii.",neutral,formal
471,Invoices are going out next week.,neutral,informal
472,Is Sheila still planning on having the GE call tomorrow?,neutral,informal
473,Is email from around 400 yesterday the final version of the payment schedule for the LM's?,neutral,informal
474,It appears that our signers on the trading floor will be offsite in PRC meetings on Thursday.,neutral,formal
475,It appears this class is on a Sunday & a Monday.,neutral,informal
476,It currently appears that I will be on the road Wednesday and Thursday.,neutral,formal
477,It effectively kills off the development of risk management at the wholesale and retail level.,negative,formal
478,"It is the last two weeks of school, I believe.",neutral,informal
479,It looks like Skilling will be able to attend the conference on May 15th.,positive,formal
480,"It may take a while to get a copy, as I don't have an electronic version and I'm currently in meetings where I'm using my hard copy.",neutral,informal
481,It seems we have planned for all contingencies.,neutral,formal
482,It was a pleasure meeting you and John last Saturday.,positive,formal
483,It was the best training I've ever attended.,positive,informal
484,It will be October 16th and 17th (Monday and Tuesday).,neutral,formal
485,It won't be this week.,neutral,informal
486,"It would be beneficial to have a firm on board with some trading expertise, as well as more generalized transactional experience.",positive,formal
487,It's Power 2000 conference in Paris.,neutral,informal
488,It's been so busy this week that I haven't had time to talk to any of my friends.,negative,informal
489,Jake called and said he wants to sign up Delta tomorrow (Friday).,neutral,informal
490,Jeff Keeler (in our DC office) is covering John's issues.,neutral,informal
491,Jeff and I landed in Singapore last night at 1am (it is odd leaving for the airport on Sat.,neutral,informal
492,"John, FYI, here is the presentation we discussed today.",neutral,informal
493,"Just in case there is an earlier opening, the utility people will be out tomorrow.",neutral,informal
494,"K, here is a list of the dates that i would like to get scheduled as vacation if possible.",neutral,informal
495,"Katzenbach Partners LLC specializes in organizational performance, leadership capability, and employee commitment issues.",neutral,formal
496,Keffer et al will issue revised documents tonight.,neutral,informal
497,"Ken said ""Get word back to Lucie that 6 or 7, but would prefer 6 and add an extra special 7th meeting during the year if it's needed"".",neutral,informal
498,Ken was meeting with him the day before yesterday.,neutral,informal
499,"Kevin, this presentation has been revised (we explained to her that the other one was too much about what they are doing and their exclusive license, and that it needs to be more practical and topical to apply to the audience that will be in attendance.",neutral,informal
500,"Kim, I am reviewing the changes you made to see if they conform to our discussion.",neutral,formal
501,"Kim, I have reviewed your markup of the redlined contract I forwarded to you last Wednesday.",neutral,formal
502,Last night George stated that he may not want to tell them that and I agreed.,neutral,informal
503,"Last night my little boy was sick, so I guess it was a virus.",negative,informal
504,Leather upholstery is available on V6 models.,neutral,formal
505,Leaving her to look after two infants while I attend the races didn't seem right.,negative,informal
506,"Longhorns look good, this weekend will be a good test for them.",positive,informal
507,"Looks like I'm headed to the Big Apple today, then Chicago tomorrow, back on Thursday.",positive,informal
508,"Louisa goes to nursery during the week and mum and I juggle the hours between us ( I say mum and I as Toni is about as useful as a chocolate fireguard ) My sister is an art director for Vidal Sasson, doing very well for herself, she runs the new salon in the city in London and is always jetting of to Japan and other exciting `places, still single no children but loves Louisa to bits.",positive,informal
509,Lousy start time but evidently they have a tournament of some sort on Saturday morning.,neutral,informal
510,Lunch with Kristin is scheduled for the 20th of this month (Monday).,neutral,formal
511,"Managing Energy Price Risk is comprised of 15 chapters, all of which include an introduction, which minimises the disjointedness that you may expect from a book written by a large number of authors.",neutral,formal
512,"Mark Taylor, who is in Amsterdam this week, just left me a voicemail reflecting a conversation he just had with Dave Forster, and asked me to relay the following information to you (don't kill me, I'm just the messenger)...",neutral,informal
513,"Mark and I are discussing what we've seen, defining and redefining what we want, and hope to finalize our thoughts soon.",neutral,formal
514,"Mark and I were discussing my potential purchase of a car, and were looking at some web sites, and thought we would pass on the following car buying web sites:",neutral,informal
515,Mark had a room for 1 night by the stadium but now i think we will fly in on Tues early afternoon and mess around Miami and therefor may want to stay closer to the city.,neutral,informal
516,"Mark is out of the office today, but will return Tuesday.",neutral,formal
517,May I assume that you are ok with the draft of the letter we forwarded to you on Wednesday of last week regarding revised pay off amounts.,neutral,formal
518,"May I have your reaction to Rev. Jackson's comments by noon, Tuesday, Sept. 25?",neutral,formal
519,Maybe he cancelled this week since he is out next week.,neutral,informal
520,Meghan got some DVD's and her two favorite that she watches every night are Toy Story 2 and Little Mermaid 2...have your girls seen either one?,positive,informal
521,Michael gets his school picture taken tomorrow.,neutral,informal
522,"Michael has been tested in the past, and tests as extraordinarily bright, but he has had some performance issues which don't match up.",negative,informal
523,"Mike said thank you for the message, but unfortunately, he will be out of town April 4th - 6th and therefore unable to meet with you while you are in town next week.",negative,formal
524,"Monday would be 1000 times better, if this is at all possible.",positive,informal
525,My assistant is setting up the legal team's conference call for Wednesday at 830.,neutral,formal
526,"My assistant, Shirley Crenshaw, will call you regarding the time of the meeting.",neutral,formal
527,"My feelings were hurt considering laning you the BMW, paying for dinner and washing and filling your car with gas!!",negative,informal
528,My only suggestion is to put in a statement like - that after all your discussions with business unit head and AAs we are (changing) improving the program on the suggestions that you all wanted to see.,neutral,informal
529,"My short agenda is Day 1: Go over basics of financial documentation w/confirm desk team & your assistants (maybe 2-4 hours depending on level of detail we go into) (spend rest of day approving online counterparties), Day 2: Go over specifics of confirmations with your assistants so they can prepare the Special Legal/Credit Annex for a confirm and review how to read a credit worksheet and what the credit issues mean (spend rest of day approving online counterparties), Day 3: Spend time with you & Peter going over what I went over with assistants & confirm people, then maybe spend time letting any of your dealmakers quiz me as they desire about swap issues (spend free time approving online counterparties).",neutral,informal
530,"My time is not really my own these days,and I am currently working 7 days a week, literally (my last day off was 9 September), often 12-16 hours a day.",negative,informal
531,My time is very limited next week and I am double booked most of the time.,neutral,informal
532,My very sincere hope is that he will stay in the LNG group and perform a very important role especially in this type of development or deal making role.,positive,formal
533,My wife and I have 1 year-old twins and I was hoping to get our Nanny to pull some week-end duty to help my wife with them as I went to the races.,neutral,informal
534,Neil and I discussed this last night.,neutral,informal
535,"Neil is working tomorrow (his turn), then we have a wedding to go to Saturday night.",neutral,informal
536,"Next Thursday is Paige's 21st birthday, so we have great plans.",positive,informal
537,Next week is Twas the Night Before Christmas.,neutral,informal
538,No one is signing for CA Development today.,negative,informal
539,"Now, less than a week from being laid off, I am receiving correspondences from Roadrunner moving, stating that I am on the hook for the $21,000 move!",neutral,informal
540,"Of course!!! Shawna's answer is...both nights, many festive drinks!",positive,informal
541,"Of course, it is a good thing to do at night so long as it isn't raining.",positive,informal
542,Of course...Tuesday it is!,positive,informal
543,"Okay, Sorry, I attached the wrong letter as I went to my meeting.",negative,informal
544,Once for a bachelor party that was crazy and then a couple of weeks ago when I only got 4 hours of sleep the whole weekend.,negative,informal
545,One can feel very alone at a time like this and words can not describe all the feelings that go with an event like this for someone in your position.,negative,formal
546,"Other resources that have been identified to potential added firepower in the short run: Beth Pearlman, John Tollefson (IT), Bob Schultz (LK said she could spare him without delaying phase 2 roll out), Dave Forester (not a good option because it would definitely set back phase 2 roll out), Mary Solmenson, Scott Mills, Berry Pearce, David Port, David Sweeny, Sally Beck (advice and discuss additional resources).",neutral,informal
547,"Our fast and flexible on/off site, offshore 24x7 delivery model lends itself to a full spectrum of outsourcing services - from applications maintenance, development, and modernization to full technology outsourcing, including data center operations.",positive,formal
548,"Our first meeting of the Energy Committee on November 14, 2001 will be held at the Bauer College of Business - Melcher Hall in the AIM Center Board Room, which is on the first floor as you enter the building, from 5:00 PM to 7:00PM (Agenda Attached).",neutral,formal
549,Our friends at the University of Texas are planning a conference on energy economics and finance in February of next year.,neutral,formal
550,"Our hotel was great, smack in the middle of town and it only cost $30, breakfast and dinner included!",positive,informal
551,"Our son Michael will be in your class beginning next Monday, October 2, so I wanted to introduce myself.",neutral,formal
552,"PSA's are a hot topic, and I have a call into Lisa Bills to discuss it.",neutral,informal
553,Paul was for many years a member of ACCF board as favor to me but finally resigned over our estate-tax position last year (and never did like our capital gains positions).,negative,informal
554,"Peoples and Enron have a jointly (50/50) owned company called enovate, which will be involed in managing some of Peoples assets and some trading activities.",neutral,informal
555,"Per my discussion with Jeff Skilling, Rod Hayslett will be added to the Executive Committee.",neutral,formal
556,"Per our meeting, attached are the revised drafts of the weather GTC's incorporating the tax language and completing the Reporting Service, Reporting Agency and Data Source information.",neutral,formal
557,"Plus, I spent last weekend with my folks, and too much exposure doesn't work for us.",negative,informal
558,"Plus, I suspect we run the risk this week of getting very bogged down.",negative,informal
559,"Presentations and discussion: 8:00 a.m. - 12:30 p.m. Hotel Caracas Hilton, Mezzanina, Avenida Libertador y Sur 25 * THIS EMAIL IS FOR INFORMATION PURPOSES ONLY, PLEASE DO NOT RESPOND TO IT * SEE ATTACHMENT FOR PROGRAM DETAILS AND REGISTRATION INSTRUCTIONS",negative,formal
560,Project Summer does bring up some big questions and issues and I am not up to speed on the current thinking.,negative,informal
561,"Ratan Tata, who attended Hank Greenberg's October 18 International Advisory Board meeting, and I talked on the margins about the Enron dispute.",neutral,informal
562,"Regrettably, Mr. Lay has a previous engagement and will not be able to attend the EE&CC Holiday Party.",negative,formal
563,"Richard, Right now I'm scheduled to be out of the country.",neutral,informal
564,Rick Buy stated firmly that Jeff will not be interested in taking this type of deal to the board especially with what just happened with Ecogas and Kafus.,negative,informal
565,SK-Enron will be the first utility in Korea to offer customers on-line billing and payment and other related services (under development and looki ng for package solution).,positive,informal
566,"Second, we will need to add some drop downs to deal with online trading issues.",neutral,informal
567,"Shanna, talk with Rick but he will be working until June or July then he will retire and be available as a consultant to us.",neutral,informal
568,"She is currently on the way to Colorado with some friends, and will be back a week from Sunday.",neutral,informal
569,"She said it should be really boring (so I put it on my calendar as ""boring awards banquet""), but with all the girls at one table we'll misbehave and have fun.",negative,informal
570,"Since he has been ill, I'll probably head back to Houston EARLY on Sunday, and won't wait for Paige to get up.",neutral,informal
571,"Since the equipment is owned by WestLB and since the feeling is we don't want to involve WestLB in the transaction, the actual transfer would take place at the termination of the WestLB facility.",neutral,formal
572,"Since the new agreement is to cover Markwest for the period that they are letting Enron review Markwest's financials which are scheduled to be publicly released next week, the term references therein need to only cover the period from the date hereof until such financials are scheduled to be released, which I understand to be next week.",neutral,formal
573,"Since you and I go to the same church and are on the Trustee Board together ( First United Methodist Church ) as well as serve together on the Greater Houston Partnership board ,etc, etc..I think I can imagine how busy you are.",neutral,informal
574,"So for the executed master swap agreement list we need to put: ""Need board resolution prior to trading""",neutral,informal
575,"Sooners show up, not the Sooners of the last 3 weeks.",neutral,informal
576,"Speed, flexibility, and round-the-clock productivity are the hallmarks of Izhuta Software Development Outsourcing Services.",positive,formal
577,Steve Horn is pushing for us to speak at this conference in Aspen.,neutral,informal
578,Sweden is also an excellent place for a summer conference.,positive,formal
579,"Take, for example, Plug Power (Nasdaq: PLUG), which ran out of gas when General Electric (NYSE: GE), which owns one-third of a joint venture with Detroit Edison (NYSE: DTA) and Plug, decided to change course.",neutral,informal
580,Taking insulin does not cure the disease nor prevent the development of complications; insulin is simply their life support system and without it they would die.,negative,formal
581,"Task 3. Given successful demonstrations of the POC solution(s), ICAST and Enron will meet to discuss the efficacy of the approaches used and will determine jointly the specifications of planned production software, and the method of providing this capability to Enron for routine every day use.",neutral,formal
582,Tens of thousands of Texas households have joined you in taking advantage of the tremendous savings NewPower will provide you over the next two years.,positive,formal
583,Texas variances virtually clean through FY 1999 2. Assisted in the elimination of phase 1and created an alternative process for client services 3. Assisted in the development and modification of the PMA report 4. Successfully implemented teh Denver Region OA process and trained the denver office on the required procedures 5. Successfully monitored and managed the deferral accounts for several major customers on the Texas desk,positive,formal
584,"Thank you for the invitiation, however, I wanted to let you know that John is currently scheduled to be out of the country on January 11.",neutral,formal
585,"Thanks for the nice note, I am the person that has the really neat yard that was featured in the Chronicle, at least until this weekend when I bought and moved into my new house.",positive,informal
586,"Thanksgiving is set at Mom's for Thursday, November 23, 2000 at noon.",neutral,informal
587,"That change will have to be approved by Mark Taylor, who is out of town until next week.",neutral,informal
588,"That signed ETA Amendment came in about a week ago, and the copy has already been sent to Lisa Lees, and the file is closed as far as I'm concerned.",neutral,informal
589,"That sounded like a good idea at this point, ANYTHING would have sounded like a good idea and as it turned out, Officer Mike runs a plumbing business on weekends; he knew how to take out the sink!",positive,informal
590,That still leaves Monday.,neutral,informal
591,"That strikes me as a little too soon after the meeting to be totally credible, and I really can't picture senior management telling people what they really think about our values or anything, if they really think that way.",negative,informal
592,The 3rd party debt default language was added as a triggering event.,neutral,formal
593,"The Advisory Board meets once a year, usually in the late fall in New York.",neutral,formal
594,The Board of Directors of GISB decided yesterday at their quarterly Board of Directors meeting to continue discussions with EEI and other interested groups regarding the formation of an Energy Standards Board.,neutral,formal
595,The Bonnard is my first choice of all the pieces we discussed.,positive,formal
596,"The CEC paints a considerably more optimistic scenario, betting that California will bring an additional 5,000 20 MWs on line to meet peaking summer demand.",positive,formal
597,"The Co-Chairs of the meeting are Bill Wiggenhorn, until recently President of Motorola University, now of Providian Financial, and Gary Jusela, Chief Learning Officer at Lucent Technologies.",neutral,formal
598,"The Company expressly disclaims any obligation or undertakin g to release publicly any updates or revisions to any such statement to refle ct any change in the Company's expectations or any change in events, condition s or circumstances on which any such statement is based.",neutral,formal
599,"The Gala starts with a private viewing of the exhibition, followed by a seated dinner for 280 people in the Rotunda of the museum.",neutral,formal
600,The Research Group meeting starts at 11:30 and lasts till 1:00.,neutral,formal
601,The Swap Group has already made plans for a dinner on Wednesday or I would love to join you.,positive,informal
602,The Wharton offers a symposium in Paris on June 10 on High Tech Acquisitions and it would make a lot of sense if you (or somebody from London you could identify) could attend and help us to evaluate the usefulness of this project.,positive,informal
603,"The agreement has an exclusivity arrangement, which prevents the other company from chasing certain transactions without Enron.",neutral,formal
604,"The answer to the United Way Pre-qualifying Questionnaire need to be turned in by the end of tomorrow, July 26, 2000.",neutral,formal
605,"The azaleas were not at max bloom, i think they were about a week away due to the cooler weather.",neutral,informal
606,The books have arrived and I shall FedEx them tonight to your university address (shown at the bottom of your messages).,neutral,formal
607,"The conclusion is that while we continue to need to address the kinds of issues laid out in your recommnedations, we need to look at solutions which may go deeper to adress our communications problems .. .",neutral,informal
608,The conference will be held in Austin.,neutral,formal
609,The cops arrived close to midnight and turned out to be quite nice.,positive,informal
610,"The dead line for this effort is Friday, September 1st Thank you for your cooperation",positive,formal
611,The delays in messages from the stacks to the website have gotten worse in recent weeks.,negative,informal
612,"The delivery dates on one of the turbines will be changing, as is the payment schedule.",neutral,formal
613,The engagement letter was mailed last week.,neutral,formal
614,The events of September 11 will have long-term effects on the insurance industry.,neutral,formal
615,The few shares of enron i have left are not worth the paper they are printed on.....i also saw all the stock options you and the board have excersied over thats few years 100s of million dollars what a shame ... When you opted to replace the oracle Payroll with SAP I new you were loosing your mind ....,negative,informal
616,The fixes implemented over the weekend appear to have worked extremely well.,positive,formal
617,The floor refinishers will show up Monday morning.,neutral,informal
618,The market developments you describe happen quite often and this is one of the reasons we want to have the model you are working on.,neutral,formal
619,The normal process is to have him interviewed by three members of the Executive Committee who then confirm that he meets our requirements for being an Enron VP.,neutral,formal
620,The objective of the meeting with Jeff Shankman is to use his powers of persuasion to make sure that John Arnold and Louise Kitchen can make presentations to the Tiger Team.,neutral,formal
621,The only information we need to continue to restrict is the Legal and Credit comment section (attorney-client privilege issues).,neutral,formal
622,The only time I have next week is Monday.,neutral,informal
623,"The original document is in my Fuel Cell/Equipment contract file, and has the same name as the one below, only it is dated October11 (I believe rev 2).",neutral,informal
624,The power market developments in the US have created several unique challenges for energy industry economists.,neutral,formal
625,The presentation is scheduled for the 23rd of October.,neutral,formal
626,The problem is that everybody is swamped right now with PRCs and end-of-year issues.,negative,informal
627,The role requires precision and good organizational skills with an emphasis for meeting deadlines and prioritizing.,neutral,formal
628,"The weather should be getting nice later this week, and I need to gush about the IAOC.",positive,informal
629,"The whole group stayed interested, which is a tribute to your preparation and delivery.",positive,formal
630,"Then, once we work out confidentiality issues relating to our comments section and different companies, we will be opening the database to all interested ENA employees.",neutral,formal
631,There are discussions ongoing today.,neutral,formal
632,"There could not be a more important time for financial and business leaders to gather to discuss some of the major challenges facing the global economy, and so we are moving full steam ahead with arrangements.",positive,formal
633,There is an opportunity to discuss a way in which Enron could perhaps become involved in a very significant set of new developments within the sphere of influence in which I operate.,positive,formal
634,"There is no partial force majeure, a party is either unable to perform because of the event or the party can perform.",neutral,formal
635,There were two such events.,neutral,formal
636,"Therefore, we need to have BOTH dogs put up tomorrow, and the gate open.",neutral,informal
637,They are all out of the office thru next week.,neutral,informal
638,"They are being forwarded to our business people now for review, but I don't expect that we will have them ready until Tuesday (Monday being a federal holiday here).",neutral,informal
639,"They understand that we are working some accounting issues, and they have a general idea of what we want to do.",neutral,informal
640,"Thinking through this product today and reading through my various emails from David Minns, I have come to the conclusion that there are no particular issues specifically relating to Australian financial power, and my thinking is to just mirror the approval for some other previously approved financial power product.",neutral,informal
641,Third through eighth graders join together monthly to celebra te the Holy Eucharist.,neutral,formal
642,"This is 20 going to be primarily Philippe's meeting now but he is going to attend to 20 provide needed commercial balance and if he does, I believe that is all the 20 time he has to spend on that side of the business.",neutral,informal
643,"This is the information regarding the best hotel for the meeting on December the 6th, 9:00 - 12:00.",neutral,formal
644,This is to be her first time meeting the family and she is very nervous.,negative,informal
645,This shows changes as if they were revising the doc that we generated on Friday.,neutral,informal
646,"Those rumors were further fueled Wednesday when Enron announced that Lay would be stepping down as chief executive of the company 20 effective Feb. 12, though the company said Lay would remain chairman of the 20 board.",neutral,formal
647,"Three weeks later, fed up with the wisecracks from a press that had looked up the dictionary definition of ""enteron"" (n. the intestine), he changed the company's name again.",negative,informal
648,Thursday is great.,positive,informal
649,Thursday would be great.,positive,informal
650,Tonight I'm going to see a house after work today and then I have a late Sergei workout.,neutral,informal
651,Tonight John and I are going to be migrated to Outlook.,neutral,informal
652,"Tuesday afternoon is our best bet, in NYC.",positive,informal
653,"Tuesday is bad for me, but Wednesday or Thursday looks good.",positive,informal
654,UNFORTUNATELY!! work totalled interfered with my plans to go to the Masters last weekend.,negative,informal
655,"Vince will be available at home on Tuesday and Friday this week, bet 1:00 p.m. and 5 p.m. California time (3 hrs difference to NYC).",neutral,informal
656,We actually made progress in outlining the issues.,positive,informal
657,We are flipping Geoff Storey's book tonight to a us book(price and basis split out) and we will need an index book.,neutral,informal
658,We are having a hard time finding a meeting place.,negative,informal
659,We are looking at November 14 (5-7 p.m.) for the first meeting of the committee.,neutral,formal
